우체국구분코드,우체국우편번호,관내우체국명,지방청명,총괄국명,우체국주소,우체국전화번호,우체국FAX번호,우편영업시간,금융영업시간
54213,59790,거문도우체국,전남청,여수우체국,전남 여수시 삼산면 거문길 28-8,061-666-8000,미운영,08:00~17:00,08:00~16:30
60462,48795,부산수정1동우편취급국,부산청,동부산우체국,부산 동구 고관로 41 (수정동),051-465-0062,051-465-0061,09:00~18:00,미운영
32897,27013,단양상진우편취급국,충청청,단양우체국,충북 단양군 단양읍 삼봉로 109(상진리),043-423-4411,043-423-3388,09:00~18:00,미운영
72373,38428,경일대학교우편취급국,경북청,경산우체국,경북 경산시 하양읍 가마실길 50(부호리33),053-600-4880,미운영,09:00~18:00,미운영
89869,04535,서울중앙우체국,서울청,서울중앙우체국,서울 중구 소공로 70 (충무로1가),02-6450-1114,02-6450-1730,09:00~18:00,09:00~16:30
85209,63219,제주지방우정청,제주청,제주지방우정청,제주특별자치도 제주시 청사로 59,064-800-5961,02-6450-1730,00:00~00:00,미운영
85478,28529,청주성안동우체국,충청청,청주우체국,충북 청주시 상당구 성안로 34,043-211-3006,043-212-3006,09:00~18:00,09:00~16:30
85521,48931,부산우체국,부산청,부산우체국,부산 중구 중앙대로 63,051-600-3000,051-466-0054,09:00~18:00,09:00~16:30
14924,05050,동서울우편집중국,서울청,동서울우편집중국,서울 광진구 자양로 76 (자양동) 동서울우편집중국,"02-450-6006(대표),6066",02-444-8138,09:00~18:00,미운영
85496,31508,아산우체국,충청청,아산우체국,충남 아산시 시민로 455 (온천동),041-538-2114,041-546-4100,09:00~18:00,09:00~16:30
85683,61483,광주충장로우체국,전남청,광주우체국,광주 동구 충장로 94 (충장로2가),062-231-8130,062-222-7107,09:00~18:00,09:00~16:30
45849,22382,인천공항우편취급국,경인청,인천우체국,인천  중구 공항로 272 (운서동) 인천국제공항 여객터미널 2층,032-740-2900,032-740-2902,09:00~18:00,미운영
85825,15357,안산우체국,경인청,안산우체국,경기 안산시 단원구 중앙대로 815  (고잔동),031-483-0014,031-402-8464,09:00~18:00,09:00~16:30
85807,62363,광주광산우체국,전남청,광주광산우체국,"광주 광산구 사암로171번길 32 (우산동, 광주광산우체국)",062-949-2114,062-941-1005,09:00~18:00,09:00~16:30
75203,37667,포항효곡동우체국,경북청,포항우체국,경북 포항시 남구 지곡로212번길 49,054-272-0123,054-275-7716,09:00~18:00,09:00~16:30
14862,06133,서울역삼1동우체국,서울청,서울강남우체국,서울 강남구 테헤란로 131(역삼동),02-552-0159,02-508-3831,09:00~18:00,09:00~16:30
58613,56160,정읍우체국,전북청,정읍우체국,전북특별자치도 정읍시 조곡천1길 27,063-530-7755,0505-005-2129,09:00~18:00,09:00~16:30
51605,57910,주암우체국,전남청,순천우체국,전남 순천시 주암면 동주로 2019,061-754-1501,061-754-7601,09:00~18:00,09:00~16:30
52040,58628,국립목포해양대학교우편취급국,전남청,목포우체국,전남 목포시 해양대학로 91  (죽교동),061-240-7570,061-240-7863,09:00~18:00,미운영
12546,05006,세종대학교우편취급국,서울청,서울광진우체국,서울 광진구 능동로 209 (군자동) 세종대학교 내 군자관1층,02-3408-3385,02-467-2061,09:00~18:00,미운영
85405,04553,서울충무로2가우체국,서울청,서울중앙우체국,서울 중구 삼일대로6길 5 (충무로2가),02-2278-0037~8,02-2278-5100,09:00~18:00,09:00~16:30
89994,30114,우정사업본부,우정사업본부,우정사업본부,세종특별자치시 도움5로 19 (어진동),044-200-8114,0505-005-1024,00:00~00:00,미운영
85469,31993,서산우체국,충청청,서산우체국,충남 서산시 율지16로 48 (동문동),041-661-6700,041-668-8322,09:00~18:00,09:00~16:30
61389,46708,부산가락동우편취급국,부산청,부산강서우체국,부산 강서구 가락대로 1467,051-972-5400,051-972-5410,09:00~18:00,미운영
85941,61011,청사우편출장소,전남청,북광주우체국,광주 북구 첨단과기로208번길 43 (오룡동),062-972-9730,미운영,14:00~17:00,미운영
85898,59741,여수동문동우체국,전남청,여수우체국,전남 여수시 동문로 52 (관문동),061-662-3602,061-662-3611,09:00~18:00,09:00~16:30
33045,32622,반포우편취급국,충청청,공주우체국,충남 공주시 반포면 반포초교길 75,041-856-6003,041-856-6004,09:00~18:00,미운영
33018,32517,의당우체국,충청청,공주우체국,충남 공주시 의당면 의당로 316 (청룡리),041-852-0001,041-852-1710,09:00~18:00,09:00~16:30
33036,32525,신풍우체국,충청청,공주우체국,충남 공주시 신풍면 신풍길 82 (산정리),041-841-1005,041-841-7779,09:00~18:00,09:00~16:30
33027,32531,우성우체국,충청청,공주우체국,충남 공주시 우성면 동대리길 63-1 (동대리),041-853-6001,041-852-6001,09:00~18:00,09:00~16:30
30795,32607,이인우체국,충청청,공주우체국,충남 공주시 이인면 검바위로 230 (이인리),041-857-4001,041-857-8422,09:00~18:00,09:00~16:30
30820,32506,유구우체국,충청청,공주우체국,충남 공주시 유구읍 중앙1길 109 (석남리),041-841-1101,041-841-6993,09:00~18:00,09:00~16:30
30786,32616,공주계룡우체국,충청청,공주우체국,충남 공주시 계룡면 영규대사로 497-1 (월암리),041-857-9001,041-857-5995,09:00~18:00,09:00~16:30
30777,32512,공주정안우체국,충청청,공주우체국,충남 공주시 정안면 광정장터길 7 (광정리),041-858-6001,041-858-6995,09:00~18:00,09:00~16:30
30811,32523,사곡우체국,충청청,공주우체국,충남 공주시 사곡면 산넘어길 6-1 (호계리),041-841-7001,041-841-7000,09:00~18:00,09:00~16:30
30802,32609,탄천우체국,충청청,공주우체국,충남 공주시 탄천면 통산로 171 (삼각리),041-853-5001,041-852-5001,09:00~18:00,09:00~16:30
21287,24062,철원자등우체국,강원청,철원우체국,강원특별자치도 철원군 서면 자등로 612,033-458-5100,033-458-0917,09:00~18:00,09:00~16:30
85978,14442,부천우편집중국,경인청,부천우편집중국,경기 부천시 오정구 오정로211번길 40,032-680-0005,0505-005-1406,09:00~18:00,미운영
56691,54037,군산경암동우체국,전북청,군산우체국,전북특별자치도 군산시 해망로 38,063-445-7323,063-445-4418,09:00~18:00,09:00~16:30
30419,34815,대전목동우체국,충청청,서대전우체국,대전 중구 동서대로 1411(목동),042-253-3005,042-257-1734,09:00~18:00,09:00~16:30
30428,35038,대전호동우체국,충청청,서대전우체국,대전 중구 대종로 150(호동),042-271-2005,042-283-0145,09:00~18:00,09:00~16:30
20066,24126,화천우체국,강원청,화천우체국,강원특별자치도 화천군 화천읍 중앙로 29,033-442-0100,033-442-2008,09:00~18:00,09:00~16:30
20333,24157,사내우체국,강원청,화천우체국,강원특별자치도 화천군 사내면 사내로 15 (사창리 422-11),033-441-6661,033-441-5271,09:00~18:00,09:00~16:30
20324,24137,간동우체국,강원청,화천우체국,"강원특별자치도 화천군 간동면 간척월명로 307, (오음리 612-1)",033-442-5001,033-442-0356,09:00~18:00,09:00~16:30
21572,24101,상서우체국,강원청,화천우체국,"강원특별자치도 화천군 상서면 영서로 7703, (산양리 738-43)",033-442-6001,033-442-6004,09:00~18:00,09:00~16:30
34408,35076,대전옥계동우편취급국,충청청,서대전우체국,대전 중구 모암로7번길 150(옥계동),042-283-9300,미운영,09:00~18:00,미운영
34417,34828,대전용두2동우편취급국,충청청,서대전우체국,대전 중구 동서대로1321번길 19(용두동),042-252-1544,042-252-5570,09:00~18:00,미운영
34453,35081,한밭산성우편취급국,충청청,서대전우체국,대전 중구 대둔산로 345(사정동),042-582-0090,042-582-1098,09:00~18:00,미운영
21876,24507,임당우체국,강원청,양구우체국,강원특별자치도 양구군 동면 금강산로 1695,033-481-0001,033-481-6805,09:00~18:00,09:00~16:30
21885,24502,방산우체국,강원청,양구우체국,강원특별자치도 양구군 방산면 평화로 5141,033-481-5001,033-481-9263,09:00~18:00,09:00~16:30
